,file_name,timestamp,updates_num,diff_updates_num,withdrawls_num,diff_withdrawls_num,peers_num,diff_peers_num,origins_num,diff_origins_num,prefixes_num,diff_prefixes_num,avg_update_per_peer,avg_update_per_origin,avg_prefix_per_peer,avg_prefix_per_origin,new_prefixes_num,more_specific_num,origins_of_new_prefixes,peers_of_new_prefixes,origins_of_more_specific_prefixes,peers_of_more_specific_prefixes,new_peers_num,new_origins_num,Leak_type
86,telecomMalysia12june2015from840to1040/routeviews-sydney\updates.20150612.1130.txt,1130,61116,27472,14318,12251,7,0,3577,2402,16488,8989,10776,21,3330,4,15387,0,3384,7,0,0,0,3223,0
87,telecomMalysia12june2015from840to1040/routeviews-sydney\updates.20150612.1200.txt,1200,19967,-41149,1459,-12859,7,0,456,-3121,2660,-13828,3060,46,1013,5,1661,0,288,7,0,0,0,220,0
88,telecomMalysia12june2015from840to1040/routeviews-sydney\updates.20150612.1230.txt,1230,87754,67787,15395,13936,7,0,877,421,6002,3342,14735,117,3020,6,4903,1,619,6,1,1,0,636,0
89,telecomMalysia12june2015from840to1040/routeviews-sydney\updates.20150612.1300.txt,1300,108197,20443,12671,-2724,7,0,6135,5258,54499,48497,17266,19,9032,8,53320,48,5946,7,16,1,0,5622,0
90,telecomMalysia12june2015from840to1040/routeviews-sydney\updates.20150612.1330.txt,1330,50836,-57361,5144,-7527,7,0,681,-5454,4154,-50345,7997,82,2072,6,2588,50,403,7,4,2,0,331,0
91,telecomMalysia12june2015from840to1040/routeviews-sydney\updates.20150612.1400.txt,1400,45711,-5125,1744,-3400,7,0,762,81,6197,2043,6779,62,2895,8,5166,0,604,7,0,0,0,482,0
92,telecomMalysia12june2015from840to1040/routeviews-sydney\updates.20150612.1430.txt,1430,21847,-23864,1439,-305,7,0,499,-263,3021,-3176,3326,46,1085,6,1998,2,327,7,1,1,0,228,0
93,telecomMalysia12june2015from840to1040/routeviews-sydney\updates.20150612.1500.txt,1500,22831,984,1185,-254,7,0,633,134,3752,731,3430,37,1349,6,2757,0,463,7,0,0,0,384,0
94,telecomMalysia12june2015from840to1040/routeviews-sydney\updates.20150612.1530.txt,1530,19670,-3161,1129,-56,7,0,675,42,3038,-714,2971,30,947,4,2004,1,508,7,1,1,0,434,0
95,telecomMalysia12june2015from840to1040/routeviews-sydney\updates.20150612.1600.txt,1600,28029,8359,1287,158,7,0,644,-31,5212,2174,4188,45,1597,8,4244,2,465,7,2,1,0,395,0
96,telecomMalysia12june2015from840to1040/routeviews-sydney\updates.20150612.1630.txt,1630,43124,15095,1979,692,7,0,515,-129,4561,-651,6443,87,1519,8,3447,0,334,7,0,0,0,250,0
97,telecomMalysia12june2015from840to1040/routeviews-sydney\updates.20150612.1700.txt,1700,46556,3432,1753,-226,7,0,2003,1488,12893,8332,6901,24,3212,6,11907,3,1840,6,1,1,0,1735,0
98,telecomMalysia12june2015from840to1040/routeviews-sydney\updates.20150612.1730.txt,1730,57883,11327,1838,85,7,0,2062,59,11540,-1353,8531,28,3548,5,10584,0,1904,7,0,0,0,1327,0
99,telecomMalysia12june2015from840to1040/routeviews-sydney\updates.20150612.1800.txt,1800,65559,7676,1574,-264,7,0,3697,1635,18757,7217,9590,18,6071,5,17705,1,3523,6,1,1,0,1930,0
100,telecomMalysia12june2015from840to1040/routeviews-sydney\updates.20150612.1830.txt,1830,50092,-15467,1273,-301,7,0,2170,-1527,13661,-5096,7337,23,3962,6,13165,3,2065,6,2,2,0,1035,0
101,telecomMalysia12june2015from840to1040/routeviews-sydney\updates.20150612.1900.txt,1900,53543,3451,1668,395,7,0,1765,-405,12291,-1370,7887,31,2280,6,11864,0,1647,6,0,0,0,785,0
102,telecomMalysia12june2015from840to1040/routeviews-sydney\updates.20150612.1930.txt,1930,53881,338,1913,245,7,0,1605,-160,12637,346,7970,34,2988,7,12264,0,1505,7,0,0,0,192,0
103,telecomMalysia12june2015from840to1040/routeviews-sydney\updates.20150612.2000.txt,2000,29306,-24575,2441,528,7,0,561,-1044,3719,-8918,4535,56,1253,6,2683,0,357,6,0,0,0,372,0
104,telecomMalysia12june2015from840to1040/routeviews-sydney\updates.20150612.2030.txt,2030,24198,-5108,2219,-222,7,0,477,-84,2624,-1095,3773,55,1012,5,1662,0,316,6,0,0,0,189,0
105,telecomMalysia12june2015from840to1040/routeviews-sydney\updates.20150612.2100.txt,2100,35854,11656,1895,-324,7,0,485,8,4180,1556,5392,77,1439,8,3177,0,319,7,0,0,0,263,0
106,telecomMalysia12june2015from840to1040/routeviews-sydney\updates.20150612.2130.txt,2130,56097,20243,2617,722,7,0,958,473,7128,2948,8387,61,1723,7,6720,0,843,7,0,0,0,791,0
107,telecomMalysia12june2015from840to1040/routeviews-sydney\updates.20150612.2200.txt,2200,56441,344,2856,239,7,0,905,-53,6585,-543,8471,65,1583,7,6252,0,805,7,0,0,0,153,0
108,telecomMalysia12june2015from840to1040/routeviews-sydney\updates.20150612.2230.txt,2230,45096,-11345,2098,-758,7,0,1716,811,10291,3706,6742,27,2145,6,9971,2,1628,7,1,1,0,980,0
109,telecomMalysia12june2015from840to1040/routeviews-sydney\updates.20150612.2300.txt,2300,51656,6560,1523,-575,7,0,940,-776,6952,-3339,7597,56,1605,7,6366,2,832,7,1,1,0,201,0
110,telecomMalysia12june2015from840to1040/routeviews-sydney\updates.20150612.2330.txt,2330,36040,-15616,1377,-146,7,0,831,-109,6230,-722,5345,45,1346,7,5880,0,740,6,0,0,0,119,0
111,telecomMalysia12june2015from840to1040/routeviews-sg\updates.20150612.0030.txt,30,9971,-3253,775,-198,4,0,270,-122,1066,-1659,2686,39,400,4,773,13,191,3,4,3,0,180,0
